,price
508,120
6924,99
43678,115
1661,95
24367,115
18088,150
12351,180
3580,170
45326,500
12975,139
13969,199
38558,55
11124,275
1143,105
48500,55
9102,150
4433,110
27699,94
23826,250
45692,106
34127,158
35210,280
40256,187
32707,45
46965,950
20270,50
42345,300
30215,140
40623,82
14625,57
13498,99
22187,60
4812,99
37012,185
13807,170
44729,82
39971,142
8374,75
7103,140
2379,239
27348,90
27076,65
36001,237
28501,65
8061,65
14124,400
10014,100
8959,100
2200,60
48407,200
18109,67
845,30
34524,54
11956,65
29425,170
32298,100
5217,40
6886,100
9424,55
17859,150
24271,85
35295,80
20281,50
27033,30
15712,80
23709,280
1915,140
3544,85
40745,50
23141,300
43237,33
45568,300
710,95
4103,120
34909,85
10406,275
35187,55
11729,100
14029,40
37671,55
41843,299
35217,95
36862,279
7198,149
29579,99
7016,125
19865,58
41946,90
29977,135
32757,43
16639,70
11067,425
1014,125
27384,75
16256,100
25977,125
48365,135
20291,30
17536,90
34519,40
29761,58
38822,69
23688,150
22806,47
11250,40
41235,159
32214,90
44270,27
40907,59
31883,91
8805,888
26874,60
12854,90
26791,95
15578,70
19772,50
39777,240
24082,175
26458,58
38534,399
60,80
17162,145
13443,125
47953,40
25665,95
21866,149
16754,99
48339,99
28462,65
24306,49
18352,149
43942,90
2147,65
9220,155
28395,120
17488,70
41989,205
6849,40
39299,250
34510,232
41677,172
1387,35
522,99
13560,41
5310,50
42787,177
25136,58
14909,135
17702,150
35732,110
19332,90
12840,30
37034,125
11384,56
15154,999
26706,50
3817,975
38482,139
22085,60
42967,35
31582,160
27714,700
32247,300
39499,220
20450,63
48315,35
18284,90
24182,256
39389,90
6453,90
13485,65
5408,65
43217,67
43241,125
48112,560
514,99
7066,140
8618,90
32264,120
42015,45
983,350
5060,95
29144,160
10070,70
25934,53
12426,100
22676,150
23615,70
38107,160
17528,102
35507,90
48824,80
43617,70
13757,49
37297,100
531,149
14703,133
33196,38
5183,90
4692,121
30228,100
5384,45
46255,120
35617,245
42867,197
148,80
36055,500
43975,90
23928,150
28968,50
17687,175
37995,79
3187,45
11939,94
6852,120
2569,80
36659,96
1623,185
12838,225
10779,125
47302,75
29619,48
9210,140
22447,95
44502,109
9501,170
6905,155
46332,444
43894,20
14698,63
36682,400
31449,50
2891,40
1373,249
30242,149
26041,120
3428,110
10584,52
40281,39
17276,80
18570,160
20426,80
3129,150
22138,115
22364,72
34143,200
5098,216
35562,119
23562,50
17906,350
4426,165
40363,260
46584,220
13475,587
14692,142
7696,175
6803,94
11925,465
39106,189
15765,239
21177,55
12335,80
8179,300
42615,100
15971,40
8661,85
47044,175
15799,125
2748,120
42374,50
43789,88
41955,75
34558,250
23646,600
29949,100
24217,89
29093,44
48268,199
7704,80
28349,102
48830,199
31140,450
13020,30
36050,70
9690,150
25036,100
41716,180
32600,180
40123,150
21618,40
13863,220
26386,196
1507,54
46538,125
29592,109
34520,123
29466,85
34661,75
32804,51
40519,80
7595,165
675,199
5181,82
9444,139
41265,250
35787,200
22877,199
37608,133
25810,150
32779,60
31807,40
48426,400
20770,105
34034,90
3160,38
12714,300
36172,60
2258,125
9783,45
4758,316
44290,52
41060,100
19064,60
7446,90
23639,60
5527,185
3762,120
6070,100
15759,250
39001,50
24346,45
10893,110
25433,0
43927,84
2998,87
23730,80
18313,179
48557,100
47035,125
32987,110
14260,199
14337,125
19745,45
28357,200
5729,160
33062,200
9330,50
1600,199
36166,300
22730,46
41549,57
17120,38
30764,190
18458,185
45389,28
31260,45
31872,33
21197,120
39514,75
37245,65
28552,150
32275,150
29752,125
27712,100
7967,299
20917,130
45125,65
36131,31
46966,149
17452,150
7512,75
15259,79
45558,395
9797,59
38198,42
5148,175
26803,95
11274,245
47809,195
10925,80
36312,85
41548,150
25598,66
4964,80
17532,95
42429,140
13410,90
23712,125
47393,150
38577,418
38487,80
45050,115
27035,65
25000,80
36969,50
41299,46
45239,35
36851,150
30226,165
6316,272
24783,99
33415,85
44303,49
29146,50
48592,75
9174,222
21162,33
6197,90
1277,90
27641,100
41656,26
3640,150
4860,375
16864,40
2199,499
4448,249
48550,45
1637,125
5062,140
1764,60
6454,180
26719,75
24857,100
40446,82
28581,249
17182,70
39054,215
34231,225
26192,60
24428,62
25616,99
3587,224
41023,199
37257,29
48612,45
30453,640
10587,30
32278,86
9592,35
4617,175
41919,300
1020,175
47270,34
25443,82
32274,113
46980,200
28865,180
10660,49
43176,72
17247,105
2721,60
38624,65
43263,190
43007,560
2383,55
45820,140
25683,250
1025,200
24981,120
17450,124
36962,170
12447,60
6062,165
1856,120
40943,75
18479,107
19779,110
12912,130
